year,county,flag_yr,aian,asian,black_african_american,hawaiian_pacific_islander,white,two_or_more_races,other,hispanic_white,hispanic_two_or_more_races,hispanic_other
2012,Shasta,FALSE,462,279,215,26,9993,236,423,326,23,462
2012,Sierra,FALSE,3,0,0,1,143,0,0,2,2,5
2012,Siskiyou,FALSE,186,39,63,7,2112,57,34,60,10,151
2012,Solano,FALSE,204,1246,6902,351,5882,216,81,515,4267,290
2012,Sonoma,FALSE,441,395,733,129,10055,0,101,462,0,6074
2012,Stanislaus,FALSE,153,1412,2249,218,17330,308,990,6870,56,10450
2012,Sutter,FALSE,67,240,183,11,2633,92,35,543,63,1094
2012,Tehama,FALSE,84,30,34,12,3109,69,63,92,17,709
2012,Trinity,FALSE,40,0,4,1,653,20,22,20,0,16
2012,Tulare,FALSE,139,503,715,31,8205,1280,0,30784,2920,0
2012,Tuolumne,FALSE,43,17,19,7,2410,38,21,129,10,61
2012,Ventura,FALSE,163,561,1095,122,10520,0,0,0,18823,0
2012,Yolo,FALSE,187,407,552,17,3577,0,0,2985,0,0
2012,Yuba,FALSE,118,370,267,24,3596,120,60,348,22,851
2012,Statewide,FALSE,13694,94120,281075,14507,474334,47053,15813,400034,48999,453696
2013,Alameda,FALSE,341,7644,24588,889,12305,4,3,88,16971,42
2013,Alpine,FALSE,57,0,1,0,30,0,0,0,0,3
2013,Amador,FALSE,44,8,8,2,1408,35,40,78,5,57
2013,Butte,FALSE,333,688,548,47,10845,286,168,634,34,1150
2013,Calaveras,FALSE,45,21,24,8,2192,33,13,85,6,149
2013,Colusa,FALSE,25,9,16,2,274,8,17,225,4,133
2013,Contra Costa,TRUE,252,1775,10202,339,9172,829,589,78,76,9418
2013,Del Norte,FALSE,311,126,11,8,1749,54,34,119,0,113
2013,El Dorado,FALSE,63,84,81,12,4816,70,496,201,10,564
2013,Fresno,FALSE,1406,8011,11372,585,27296,0,5,0,42108,0
2013,Glenn,FALSE,46,58,26,3,785,10,0,489,3,11
2013,Humboldt,FALSE,910,233,183,32,6061,254,381,199,23,536
2013,Imperial,FALSE,151,54,265,8,1328,31,206,11862,51,562
2013,Inyo,FALSE,267,5,5,6,547,21,3,40,6,158
2013,Kern,FALSE,264,817,6945,83,18288,404,906,17813,219,13884
2013,Kings,FALSE,35,201,803,17,2553,34,257,612,18,5426
2013,Lake,FALSE,135,35,169,11,3996,81,88,157,13,542
2013,Lassen,FALSE,70,11,27,17,1126,22,10,49,4,90
2013,Los Angeles,FALSE,771,17305,110459,1055,65161,35040,0,225699,1868,100212
2013,Madera,FALSE,102,80,423,6,2935,29,221,3154,47,3611
2013,Marin,FALSE,31,248,675,18,2642,80,29,1530,57,452
2013,Mariposa,FALSE,40,5,5,2,750,32,1,66,3,16
2013,Mendocino,FALSE,485,55,119,12,4707,124,127,358,24,912
2013,Merced,FALSE,91,1175,1657,69,6153,166,20,12969,69,587
2013,Modoc,FALSE,16,2,1,1,322,7,7,9,3,47
2013,Mono,FALSE,23,5,4,1,257,6,3,85,2,14
2013,Monterey,FALSE,51,450,821,82,3476,141,596,3318,197,11081
2013,Napa,FALSE,11,73,78,9,1368,42,8,1481,11,112
2013,Nevada,FALSE,45,34,20,6,3415,66,19,238,7,48
2013,Orange,FALSE,400,12776,3553,1012,27353,117,0,2878,15,57720
2013,Placer,FALSE,132,269,272,20,6467,1320,0,0,0,0
2013,Plumas,FALSE,26,4,27,0,626,13,29,19,2,27
2013,Riverside,FALSE,440,2118,14278,413,32652,957,4668,14992,208,45074
2013,Sacramento,FALSE,1881,6433,25309,4365,38621,0,0,16023,0,2192
2013,San Benito,FALSE,7,20,15,3,634,11,3,1745,9,237
2013,San Bernardino,FALSE,629,2874,27496,619,40273,1216,4395,33140,366,48729
2013,San Diego,FALSE,913,5519,16419,1455,42132,270,1094,5015,69,49675
2013,San Francisco,FALSE,287,7640,7878,463,6818,2570,0,0,0,6440
2013,San Joaquin,FALSE,252,5093,7637,259,12325,572,955,8108,319,11444
2013,San Luis Obispo,FALSE,132,154,169,17,6155,0,0,2228,0,52
2013,San Mateo,FALSE,115,4295,2831,1196,302,0,4,5750,0,0
2013,Santa Barbara,FALSE,76,148,424,32,3814,67,12,8683,938,150
2013,Santa Clara,FALSE,766,10069,3781,348,12494,0,0,0,0,24838
2013,Santa Cruz,FALSE,44,29,16,75,661,5130,83,4610,221,772
2013,Shasta,FALSE,413,262,207,26,9619,281,332,333,29,409
2013,Sierra,FALSE,2,0,0,0,142,1,1,4,0,6
2013,Siskiyou,FALSE,181,46,74,4,2199,80,67,80,9,160
2013,Solano,FALSE,212,1380,7044,345,6070,292,174,630,4274,361
2013,Sonoma,FALSE,445,407,768,142,10397,0,85,483,0,5959
2013,Stanislaus,FALSE,150,1511,2328,225,17752,392,942,8443,67,9729
2013,Sutter,FALSE,58,250,199,16,2754,104,57,517,66,1194
2013,Tehama,FALSE,95,38,48,8,3131,60,86,114,15,725
2013,Trinity,FALSE,40,3,3,1,618,33,26,15,1,22
2013,Tulare,FALSE,170,557,748,14,8371,1555,0,31810,3246,0
2013,Tuolumne,FALSE,43,15,25,10,2413,57,23,160,19,63
2013,Ventura,FALSE,240,528,1020,331,11009,29,0,0,19075,0
2013,Yolo,FALSE,158,314,585,154,3723,0,0,2916,0,0
2013,Yuba,FALSE,112,338,245,23,3583,154,70,346,31,847
2013,Statewide,FALSE,14840,102302,292935,14906,509065,53190,17353,430678,90818,416755
2014,Alameda,FALSE,327,8898,22867,804,13950,3,9,137,16982,43
2014,Alpine,FALSE,61,0,0,0,49,0,0,2,0,2
2014,Amador,FALSE,39,11,13,3,1466,36,50,80,23,49
2014,Butte,FALSE,338,726,573,53,11222,405,209,673,367,1005
2014,Calaveras,FALSE,56,26,15,7,2365,41,15,99,27,117
2014,Colusa,FALSE,17,6,11,2,293,12,24,197,60,103
2014,Contra Costa,FALSE,213,1934,10581,338,9618,1123,990,126,104,10253
2014,Del Norte,FALSE,315,126,14,8,1729,72,34,109,46,92
2014,El Dorado,FALSE,76,89,73,28,5131,89,552,216,122,495
2014,Fresno,FALSE,1035,5976,10019,1310,24293,0,6,0,51646,0
2014,Glenn,FALSE,41,63,18,2,820,19,10,234,236,83
2014,Humboldt,FALSE,1006,283,242,62,7086,400,464,252,269,487
2014,Imperial,FALSE,169,63,293,17,1380,51,224,10906,2303,530
2014,Inyo,FALSE,266,5,4,2,569,20,4,42,44,112
2014,Kern,FALSE,263,951,7030,118,19074,526,984,16427,4041,12504
2014,Kings,FALSE,36,190,803,26,2564,58,274,661,643,4955
2014,Lake,FALSE,166,43,196,12,4114,99,144,150,154,447
2014,Lassen,FALSE,77,13,37,13,1190,32,29,49,20,76
2014,Los Angeles,FALSE,727,18591,110868,1078,64359,44763,0,236676,1959,106675
2014,Madera,FALSE,96,93,420,18,3116,41,350,3205,835,3333
2014,Marin,FALSE,31,286,633,40,2866,104,57,1330,466,403
2014,Mariposa,FALSE,35,4,9,3,808,45,3,69,12,17
2014,Mendocino,FALSE,492,52,138,19,5079,155,185,399,196,854
2014,Merced,FALSE,95,1264,1687,85,6495,236,18,10429,3513,548
2014,Modoc,FALSE,35,1,1,1,354,9,12,6,9,39
2014,Mono,FALSE,20,6,2,3,325,13,5,107,19,22
2014,Monterey,FALSE,59,523,809,130,3703,187,747,3185,2380,10035
2014,Napa,FALSE,14,101,113,16,1507,57,4,1306,309,99
2014,Nevada,FALSE,48,34,21,9,3616,88,68,246,46,45
2014,Orange,FALSE,392,14730,3813,1120,29042,119,0,3432,68,64519
2014,Placer,FALSE,160,204,275,117,7064,1386,0,0,0,0
2014,Plumas,FALSE,28,3,39,1,712,17,91,24,5,36
2014,Riverside,FALSE,469,2336,14981,575,35198,1310,5785,14878,8540,40241
2014,Sacramento,FALSE,1778,6831,25779,4473,42612,0,0,18027,0,2002
2014,San Benito,FALSE,9,16,12,6,599,15,25,1342,522,164
2014,San Bernardino,FALSE,651,3379,29009,884,43380,1606,5567,32728,11791,43726
2014,San Diego,FALSE,976,6363,16061,1450,49338,229,1033,6433,84,52286
2014,San Francisco,FALSE,266,8125,7533,445,6674,3317,0,0,0,6601
2014,San Joaquin,FALSE,256,5391,8337,306,13126,788,1131,7827,3176,10020
2014,San Luis Obispo,FALSE,127,145,142,41,6800,0,0,2230,0,88
2014,San Mateo,FALSE,329,6176,3251,1716,58,0,0,4530,0,0
2014,Santa Barbara,FALSE,83,199,415,31,4097,104,600,7810,2182,153
2014,Santa Clara,FALSE,767,11324,3772,364,14085,0,0,0,0,25333
2014,Santa Cruz,FALSE,51,23,16,40,603,5428,55,4650,252,1284
2014,Shasta,FALSE,464,294,201,37,10144,366,280,356,176,403
2014,Sierra,FALSE,2,0,0,0,147,4,0,0,1,9
2014,Siskiyou,FALSE,187,49,75,7,2409,117,72,82,49,137
2014,Solano,FALSE,208,1505,7341,389,7337,303,190,649,4030,340
2014,Sonoma,FALSE,426,416,722,159,10928,0,97,452,0,6104
2014,Stanislaus,FALSE,147,1506,2343,286,17874,670,862,8516,3068,7601
2014,Sutter,FALSE,61,283,205,27,2869,152,60,509,357,1100
2014,Tehama,FALSE,103,40,53,11,3605,88,116,146,179,668
2014,Trinity,FALSE,45,10,7,2,813,52,26,18,14,14
2014,Tulare,FALSE,177,587,780,13,9252,1527,0,35357,3282,0
2014,Tuolumne,FALSE,49,15,19,9,2520,78,31,147,67,74
2014,Ventura,FALSE,241,839,1016,118,12564,0,0,0,20246,0
2014,Yolo,FALSE,177,374,700,185,4129,0,0,3300,0,0
2014,Yuba,FALSE,106,353,258,31,3701,183,77,338,303,676
2014,Statewide,FALSE,14888,111874,294645,17050,540821,66543,21569,441099,145223,417002
2015,Alameda,FALSE,296,8832,21967,734,13859,0,2,167,16664,35
2015,Alpine,FALSE,56,0,0,0,41,0,0,1,1,2
2015,Amador,FALSE,45,12,18,2,1534,46,16,62,50,38
2015,Butte,FALSE,321,747,621,35,11802,579,340,685,869,729
2015,Calaveras,FALSE,57,25,19,5,2481,57,21,104,60,93
2015,Colusa,FALSE,12,5,14,3,268,10,18,141,143,47
2015,Contra Costa,FALSE,206,2091,10505,309,9592,1227,1570,157,130,10269
2015,Del Norte,FALSE,265,118,19,7,1744,82,42,98,78,64
2015,El Dorado,FALSE,79,92,81,17,5536,150,567,226,275,380
2015,Fresno,FALSE,912,6542,9548,312,20764,0,7370,0,52489,0
2015,Glenn,FALSE,46,61,19,1,833,23,11,167,321,58
2015,Humboldt,FALSE,1103,302,296,26,7595,628,847,298,621,372
2015,Imperial,FALSE,175,67,307,10,1495,71,203,9680,4883,471
2015,Inyo,FALSE,265,3,2,3,552,37,1,27,83,77
2015,Kern,FALSE,300,1098,7526,78,20658,758,1135,14946,10507,10843
2015,Kings,FALSE,44,223,817,14,2635,92,335,770,2095,3760
2015,Lake,FALSE,194,43,207,13,4598,135,196,176,326,367
2015,Lassen,FALSE,75,17,33,12,1188,46,34,35,31,68
2015,Los Angeles,FALSE,678,18678,107166,939,62825,48693,0,239381,2102,107417
2015,Madera,FALSE,127,98,419,8,3169,80,511,2901,2254,2494
2015,Marin,FALSE,28,312,660,14,2925,189,105,1032,1036,198
2015,Mariposa,FALSE,41,4,8,2,878,57,12,76,25,19
2015,Mendocino,FALSE,493,54,103,10,4656,202,203,349,408,594
2015,Merced,FALSE,89,1253,1754,61,6543,367,29,7348,7495,428
2015,Modoc,FALSE,35,1,3,1,333,10,17,9,13,33
2015,Mono,FALSE,20,5,3,1,292,18,52,88,16,25
2015,Monterey,FALSE,45,536,851,65,3943,334,742,2883,7585,5745
2015,Napa,FALSE,16,106,113,12,1555,70,17,1135,514,94
2015,Nevada,FALSE,38,29,22,3,3666,106,65,221,86,37
2015,Orange,FALSE,399,16409,3841,479,32403,100,0,3488,11,66499
2015,Placer,FALSE,148,175,281,131,7270,1,0,0,1398,0
2015,Plumas,FALSE,32,4,52,2,803,24,55,35,30,24
2015,Riverside,FALSE,482,2553,15453,324,36367,2168,5967,13655,21632,30948
2015,Sacramento,FALSE,1609,6839,26302,4414,45352,0,0,18465,0,1965
2015,San Benito,FALSE,12,16,19,5,635,29,23,924,902,136
2015,San Bernardino,FALSE,684,3566,30277,601,45275,2639,5631,29696,28810,34177
2015,San Diego,FALSE,995,6645,16617,1466,54604,198,1343,7074,96,54165
2015,San Francisco,FALSE,273,8767,7424,415,6259,4116,0,0,0,6645
2015,San Joaquin,FALSE,268,5680,8862,217,13550,1194,1460,7245,6877,8047
2015,San Luis Obispo,FALSE,115,241,165,41,7695,0,0,2471,0,74
2015,San Mateo,FALSE,340,6061,3131,1808,638,0,0,4342,0,0
2015,Santa Barbara,FALSE,94,194,426,30,5346,128,592,7268,2826,84
2015,Santa Clara,FALSE,662,11421,3469,317,14721,0,0,0,0,25391
2015,Santa Cruz,FALSE,31,16,11,26,575,6021,32,4899,261,2019
2015,Shasta,FALSE,467,307,217,24,10379,431,289,362,336,302
2015,Sierra,FALSE,2,0,0,0,151,2,2,2,2,11
2015,Siskiyou,FALSE,204,60,68,7,2380,152,89,76,116,95
2015,Solano,TRUE,0,30,1,1,1,0,0,0,12,0
2015,Sonoma,FALSE,427,436,659,142,11714,0,144,423,0,6234
2015,Stanislaus,FALSE,152,1502,2493,184,17813,1043,869,8059,6439,4990
2015,Sutter,FALSE,51,319,214,17,2857,191,45,445,878,690
2015,Tehama,FALSE,103,35,44,7,3426,118,117,132,308,525
2015,Trinity,FALSE,40,17,5,1,822,69,24,26,22,9
2015,Tulare,FALSE,185,334,823,102,10116,1494,0,36666,3192,0
2015,Tuolumne,FALSE,51,23,11,5,2609,102,46,153,94,59
2015,Ventura,FALSE,205,733,1053,265,13383,0,0,0,21646,0
2015,Yolo,FALSE,187,664,763,599,4250,0,0,3796,0,0
2015,Yuba,FALSE,126,335,270,25,3828,255,85,301,667,415
2015,Statewide,FALSE,14405,114736,286052,14352,553182,74542,31274,433166,207715,388261
2016,Alameda,FALSE,302,8822,20966,594,13755,6280,4,235,9892,31
2016,Alpine,FALSE,51,0,0,0,37,0,0,0,3,2
2016,Amador,FALSE,43,12,14,3,1479,40,20,61,61,32
2016,Butte,FALSE,320,746,650,39,11573,677,403,668,1311,587
2016,Calaveras,FALSE,53,31,23,7,2308,59,51,96,90,66
2016,Colusa,FALSE,12,5,16,2,265,15,17,127,139,31
2016,Contra Costa,FALSE,162,1925,9467,300,8631,1279,39,421,27,11733
2016,Del Norte,FALSE,286,103,17,8,1793,93,63,90,88,66
2016,El Dorado,FALSE,74,96,87,14,5379,172,542,230,344,317
2016,Fresno,FALSE,877,6166,8905,233,19770,0,8095,0,50454,0
2016,Glenn,FALSE,38,58,25,0,875,36,13,139,366,49
2016,Humboldt,FALSE,1086,307,324,30,7733,690,809,317,853,307
2016,Imperial,FALSE,180,67,300,5,1466,67,246,8311,6304,485
2016,Inyo,FALSE,278,6,7,2,552,29,9,38,89,59
2016,Kern,FALSE,293,1182,7657,86,21490,899,1457,13374,14308,9720
2016,Kings,FALSE,47,192,825,7,2511,112,369,1063,2993,2607
2016,Lake,FALSE,197,39,201,13,4867,143,210,182,437,329
2016,Lassen,FALSE,81,14,28,10,1202,44,44,40,41,65
2016,Los Angeles,FALSE,1199,18937,102583,873,84810,23537,28120,215899,62924,12659
